id	label
0	negative
1	negative
2	negative
3	negative
4	negative
5	negative
6	negative
7	negative
8	negative
9	positive
10	positive
11	positive
12	negative
13	positive
14	positive
15	positive
16	negative
17	positive
18	positive
19	positive
20	negative
21	positive
22	negative
23	negative
24	negative
25	negative
26	negative
27	negative
28	positive
29	negative
30	negative
31	positive
32	negative
33	positive
34	positive
35	positive
36	negative
37	negative
38	negative
39	positive
40	negative
41	negative
42	negative
43	positive
44	negative
45	negative
46	negative
47	negative
48	positive
49	positive
50	positive
51	negative
52	positive
53	negative
54	negative
55	positive
56	positive
57	positive
58	positive
59	negative
60	negative
61	negative
62	negative
63	positive
64	positive
65	positive
66	positive
67	positive
68	negative
69	positive
70	positive
71	positive
72	positive
73	positive
74	negative
75	negative
76	negative
77	negative
78	negative
79	negative
80	positive
81	positive
82	positive
83	positive
84	positive
85	negative
86	negative
87	negative
88	negative
89	positive
90	positive
91	negative
92	positive
93	positive
94	positive
95	positive
96	positive
97	positive
98	positive
99	positive
100	negative
101	negative
102	positive
103	negative
104	negative
105	positive
106	negative
107	positive
108	positive
109	positive
110	positive
111	positive
112	negative
113	negative
114	negative
115	positive
116	negative
117	negative
118	negative
119	negative
120	negative
121	positive
122	positive
123	negative
124	negative
125	positive
126	positive
127	positive
128	positive
129	positive
130	positive
131	positive
132	negative
133	negative
134	positive
135	positive
136	positive
137	positive
138	positive
139	negative
140	negative
141	positive
142	positive
143	negative
144	negative
145	negative
146	negative
147	negative
148	negative
149	negative
150	positive
151	positive
152	negative
153	negative
154	positive
155	positive
156	positive
157	positive
158	negative
159	negative
160	negative
161	negative
162	negative
163	positive
164	positive
165	negative
166	positive
167	positive
168	positive
169	positive
170	positive
171	positive
172	negative
173	positive
174	negative
175	negative
176	positive
177	positive
178	positive
179	positive
180	positive
181	positive
182	positive
183	negative
184	negative
185	negative
186	negative
187	negative
188	positive
189	negative
190	negative
191	positive
192	positive
193	positive
194	positive
195	positive
196	positive
197	negative
198	positive
199	negative
200	negative
201	negative
202	positive
203	negative
204	negative
205	negative
206	negative
